EMPLOYEE_ID,YEAR,QUARTER,GENDER,AGE,MARITAL_STATUS,MONTH,MANAGEMENT_LEVEL,JOB_FAMILY,WORKER_TYPE,BUSINESS_SITE_LOCATION,CITY_CODE,CITY_NAME,STATE_CODE,STATE_NAME,GEOZONE_CODE,MILITARY_SERVICE,PRIMARY_TERMINATION_REASON,REHIRE_YN,INVOLUNTARY_YN,TERMINATION_FAULT,TERMINATION_DV,CURRENT_STATUS
SG000139,2025,4,FEMALE,26,SINGLE,11,INDIVIDUAL CONTRIBUTOR,QUALITY,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000141,2025,4,FEMALE,40,SINGLE,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000156,2025,4,FEMALE,31,MARRIED,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000160,2025,4,MALE,38,MARRIED,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000175,2025,4,FEMALE,31,DIVORCED,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000177,2025,4,MALE,28,MARRIED,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,TEMP,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000179,2025,4,FEMALE,27,SINGLE,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,LAYOFF,N,Y,LAYOFF,61-90,TERMINATED
SG000182,2025,4,FEMALE,23,SINGLE,11,TEAM LEAD,QUALITY,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000186,2025,4,FEMALE,38,SINGLE,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000189,2025,4,FEMALE,27,MARRIED,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,RESIGNATION,N,N,RESIGNATION,0-30,TERMINATED
SG000191,2025,4,MALE,34,MARRIED,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,Y,ACTIVE,N,N,NONE,,ACTIVE
SG000194,2025,4,MALE,26,MARRIED,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,Y,ACTIVE,N,N,NONE,,ACTIVE
SG000202,2025,4,MALE,22,SINGLE,11,INDIVIDUAL CONTRIBUTOR,OPERATIONS,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000203,2025,4,MALE,34,SINGLE,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000206,2025,4,MALE,25,SINGLE,11,INDIVIDUAL CONTRIBUTOR,QUALITY,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000207,2025,4,MALE,27,SINGLE,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,CONTRACTOR,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000208,2025,4,FEMALE,21,SINGLE,11,INDIVIDUAL CONTRIBUTOR,OPERATIONS,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000209,2025,4,FEMALE,27,DIVORCED,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000214,2025,4,FEMALE,30,MARRIED,11,INDIVIDUAL CONTRIBUTOR,OPERATIONS,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ABSCOND,N,Y,ABSCOND,31-60,TERMINATED
SG000221,2025,4,FEMALE,28,MARRIED,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000227,2025,4,FEMALE,36,MARRIED,11,INDIVIDUAL CONTRIBUTOR,OPERATIONS,PART_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000229,2025,4,FEMALE,31,SINGLE,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000232,2025,4,MALE,52,MARRIED,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000240,2025,4,FEMALE,33,SINGLE,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,LAYOFF,N,Y,LAYOFF,120+,TERMINATED
SG000242,2025,4,FEMALE,19,SINGLE,11,INDIVIDUAL CONTRIBUTOR,OPERATIONS,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000244,2025,4,FEMALE,29,SINGLE,11,INDIVIDUAL CONTRIBUTOR,OPERATIONS,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,RESIGNATION,N,N,RESIGNATION,61-90,TERMINATED
SG000247,2025,4,FEMALE,29,MARRIED,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000250,2025,4,MALE,26,DIVORCED,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,CONTRACTOR,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,Y,ACTIVE,N,N,NONE,,ACTIVE
SG000253,2025,4,FEMALE,31,SINGLE,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000255,2025,4,MALE,25,MARRIED,11,TEAM LEAD,OPERATIONS,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000257,2025,4,MALE,32,MARRIED,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,CONTRACTOR,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,RESIGNATION,N,N,RESIGNATION,31-60,TERMINATED
SG000259,2025,4,FEMALE,19,SINGLE,11,MANAGER,OPERATIONS,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000260,2025,4,FEMALE,38,DIVORCED,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,TEMP,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,Y,ACTIVE,N,N,NONE,,ACTIVE
SG000277,2025,4,MALE,19,SINGLE,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000279,2025,4,MALE,28,MARRIED,11,INDIVIDUAL CONTRIBUTOR,OPERATIONS,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000280,2025,4,MALE,25,SINGLE,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000281,2025,4,MALE,32,SINGLE,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000284,2025,4,FEMALE,29,MARRIED,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000288,2025,4,FEMALE,32,MARRIED,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ABSCOND,N,Y,ABSCOND,61-90,TERMINATED
SG000289,2025,4,FEMALE,38,SINGLE,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,LAYOFF,N,Y,LAYOFF,120+,TERMINATED
SG000305,2025,4,MALE,35,SINGLE,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,PART_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,RESIGNATION,N,N,RESIGNATION,0-30,TERMINATED
SG000307,2025,4,MALE,30,MARRIED,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,RESIGNATION,N,N,RESIGNATION,61-90,TERMINATED
SG000313,2025,4,FEMALE,33,SINGLE,11,TEAM LEAD,CUSTOMER SERVICE,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,LAYOFF,N,Y,LAYOFF,31-60,TERMINATED
SG000314,2025,4,FEMALE,44,MARRIED,11,INDIVIDUAL CONTRIBUTOR,OPERATIONS,CONTRACTOR,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,RESIGNATION,N,N,RESIGNATION,120+,TERMINATED
SG000318,2025,4,FEMALE,36,MARRIED,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000319,2025,4,FEMALE,28,MARRIED,11,INDIVIDUAL CONTRIBUTOR,OPERATIONS,CONTRACTOR,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000331,2025,4,MALE,39,MARRIED,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,CONTRACTOR,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000334,2025,4,MALE,33,DIVORCED,11,INDIVIDUAL CONTRIBUTOR,OPERATIONS,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000343,2025,4,MALE,23,SINGLE,11,INDIVIDUAL CONTRIBUTOR,OPERATIONS,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000344,2025,4,FEMALE,29,DIVORCED,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000347,2025,4,FEMALE,20,SINGLE,11,INDIVIDUAL CONTRIBUTOR,QUALITY,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,Y,ACTIVE,N,N,NONE,,ACTIVE
SG000348,2025,4,MALE,19,SINGLE,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,CONTRACTOR,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000358,2025,4,MALE,23,DIVORCED,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,PART_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,Y,ACTIVE,N,N,NONE,,ACTIVE
SG000361,2025,4,MALE,31,MARRIED,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,CONTRACTOR,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000363,2025,4,MALE,31,MARRIED,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,PERFORMANCE,N,Y,PERFORMANCE,31-60,TERMINATED
SG000367,2025,4,FEMALE,20,SINGLE,11,INDIVIDUAL CONTRIBUTOR,OPERATIONS,TEMP,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,Y,RESIGNATION,N,N,RESIGNATION,61-90,TERMINATED
SG000369,2025,4,FEMALE,19,MARRIED,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,CONTRACTOR,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,Y,ACTIVE,N,N,NONE,,ACTIVE
SG000373,2025,4,FEMALE,40,MARRIED,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000375,2025,4,FEMALE,31,SINGLE,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000382,2025,4,FEMALE,41,SINGLE,11,INDIVIDUAL CONTRIBUTOR,OPERATIONS,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
SG000389,2025,4,FEMALE,40,MARRIED,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,LAYOFF,N,Y,LAYOFF,91-120,TERMINATED
SG000392,2025,4,MALE,35,DIVORCED,11,INDIVIDUAL CONTRIBUTOR,CUSTOMER SERVICE,FULL_TIME,PHL_OFFICE,PHL,PHILADELPHIA,PA,PENNSYLVANIA,EAST,N,ACTIVE,N,N,NONE,,ACTIVE
